time,bkgd_a,bkgd_b,bkgd_c
1501775580,2060,79872,99024.1711616182
1501779180,2220,67584,99017.5759454582
1501782780,2280,70656,99051.6793029485
1501786380,2330,61440,99045.9122667648
1501789980,2390,59392,99060.4550512801
1501793580,2110,69632,99057.5137710226
1501797180,2170,64512,99042.8388612281
1501800780,2220,62464,99017.5759454582
1501804380,2280,62464,99012.6249197832
1501807980,2220,67584,98998.0497029132
1501811580,2110,74752,98998.9402928886
1501815180,2000,79872,99009.5247099749
1501818780,1940,80896,99014.3811927572
1501819860,1940,80896,99031.0663587121
1501822380,2110,77824,99047.7515246669
1501825980,2110,79872,98969.6535538215
1501829580,2170,67584,98906.160719872
1501833180,2170,67584,99003.7879636978
1501836780,2170,80896,98925.6861686372
1501837980,2110,79872,98928.145368518
1501840380,2110,74752,98930.6045683988
1501843860,2200,70656,98964.327135656
1501843980,2220,69632,98998.0497029132
1501844400,2110,77824,98884.2044300011
1501847580,1940,89088,98770.359157089
1501851180,2060,82944,98907.0290033039
1501854780,2000,82944,98931.4337903575
1501858380,1940,86016,98946.0550227701
1501861980,1890,89088,98961.4761975046
1501865580,1940,82944,99033.9029556106
1501869180,2060,79872,99053.4567011967
1501872780,2060,76800,99092.5040873015
1501876380,2000,86016,99038.8088048315
1501879980,2000,86016,99048.5701697836
1501883580,1940,86016,98994.8594299037
1501887180,1940,82944,98946.0550227701
1501890780,1940,82944,98936.2941413433
1501894380,2280,67584,98914.98896187
1501897980,2110,72704,98862.2688439091
1501901580,1940,82944,98858.2070899295
1501905180,1830,92160,98849.1772570492
1501908780,1780,92160,98893.8484027573
1501912380,1720,95232,98888.8752968142
1501915860,1700,96256,98886.7954015229
1501915980,1670,98304,98884.7155062316
1501919580,1610,102400,98889.4631931733
1501921320,1560,102400,98889.4631931733
1501923180,1610,102400,98889.4631931733
1501924980,1560,102400,98887.3674225018
1501926780,1560,102400,98885.2716518304
1501930380,1560,102400,98885.2716518304
1501931760,1560,102400,98880.3927653269
1501933980,1560,102400,98875.5138788235
1501937580,1560,102400,98875.5138788235
1501941180,1610,99328,98908.9795664105
1501944780,1670,95232,98953.0262738763
1501948380,1670,98304,98972.5436360605
1501951980,1720,92160,98986.4662129267
1501955580,1780,89088,99010.9633914904
1501957560,1940,80896,99012.6722921238
1501959180,1940,80896,99014.3811927572
1501962780,2110,72704,99008.7025392442
1501966380,2170,69632,98984.2625149326
1501969980,2170,69632,98954.9743417849
1501973580,2110,72704,98930.6045683988
1501977180,2110,72704,98901.3178293318
1501980780,1940,82944,98858.2070899295
1501984380,1780,89088,98845.0504907851
1501986840,1720,92160,98864.8829985084
1501987980,1670,95232,98884.7155062316
1501991580,1670,95232,98913.9915495079
1501995180,1670,95232,98933.5089116921
1501998780,1670,95232,98913.9915495079
1502002380,1610,99328,98889.4631931733
1502005980,1610,99328,98879.7050065546
1502009580,1610,99328,98860.1886333174
1502013180,1670,95232,98855.4394629553
1502016780,1610,95232,98850.4304466988
1502020380,1560,98304,98846.2405598028
1502023980,1560,98304,98885.2716518304
1502027580,1560,95232,98934.0605168648
1502029380,1610,92160,98935.4583866654
1502030400,1610,92160,98936.8562564659
1502031180,1610,92160,98938.2541262664
1502031300,1670,88064,98955.3988811634
1502034780,1670,88064,98972.5436360605
1502038380,1720,89088,98966.9480297042
1502040240,1720,89088,98964.8664923363
