id,time,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,label_01,label_02,label_03,label_04,label_05,label_06,label_07
9474,1512754989,2349056,103159,1433,60327,-1,1,63,9174,10282,-15978,0,0,0,0,0,0,0,0
12678,1512754990,2857984,103207,1575,53813,1,-2,63,1446,14046,-20426,0,0,0,0,0,0,0,0
12678,1512754990,2860032,103194,1574,53790,0,-2,62,1506,14048,-20640,0,0,0,0,0,0,0,0
12678,1512754992,2860032,103202,1579,53786,-1,-3,64,1470,13884,-20423,0,0,0,1,0,0,0,0
9474,1512754992,2348032,103160,1436,60294,-1,1,63,9178,10236,-16011,0,0,0,1,0,0,0,0
12678,1512754993,2852864,103197,1580,53767,1,-2,63,1462,13876,-20466,1,0,0,1,0,0,0,0
12678,1512754994,1255936,103194,1573,53858,-1,-2,62,1388,13934,-20447,0,0,0,1,0,0,0,0
12678,1512754995,1256448,103201,1570,54013,0,-3,61,1402,13948,-20632,1,0,0,1,0,0,0,0
12678,1512754996,1256448,103190,1567,54055,1,-2,63,1380,13886,-20312,1,0,0,1,0,0,0,0
12678,1512754998,1258496,103190,1562,54123,1,-2,64,1470,13892,-20501,0,0,0,1,0,0,0,0
12678,1512754999,1259520,103192,1558,54131,0,-2,62,1468,14028,-20508,0,0,0,1,0,0,0,0
12678,1512755001,1259520,103194,1552,54142,1,-2,62,1362,14056,-20550,0,0,0,1,0,0,0,0
12678,1512755001,1260032,103196,1548,54168,2,-2,64,1448,13944,-20687,0,0,0,1,0,0,0,0
12678,1512755002,1228800,103199,1545,54172,-1,-2,64,1378,13970,-20643,1,0,0,1,0,0,0,0
12678,1512755003,1147392,103198,1542,54187,0,-1,62,1378,14018,-20504,1,0,0,0,0,0,0,0
12678,1512755004,2850816,103204,1548,54146,0,-2,63,1440,14030,-20518,1,0,0,0,0,0,0,0
12678,1512755005,2874368,103196,1551,54108,1,-2,62,1506,14100,-20585,1,0,0,0,0,0,0,0
12678,1512755006,2874368,103197,1553,54085,1,-2,63,1426,14008,-20533,0,0,0,0,0,0,0,0
12678,1512755008,2877440,103208,1557,54081,0,-2,63,1464,14036,-20551,1,0,0,0,0,0,0,0
12678,1512755008,2879488,103208,1557,54062,-1,-2,62,1428,13922,-20580,0,0,0,0,0,0,0,0
12678,1512755009,2879488,103195,1558,54047,-1,-2,63,1492,14126,-20621,0,0,0,0,0,0,0,0
12678,1512755010,2882560,103203,1562,54028,1,-3,63,1478,14052,-20569,0,0,0,0,0,0,0,0
12678,1512755011,2885632,103203,1564,53930,0,-2,65,1468,14040,-20597,0,0,0,0,0,0,0,0
12678,1512755012,2888704,103198,1561,54047,0,-3,63,1432,14082,-20508,0,0,0,0,0,0,0,0
12678,1512755013,2875392,103206,1562,54047,0,-2,63,1442,13970,-20415,0,0,0,0,1,0,0,0
12678,1512755014,1559552,103198,1562,54059,-1,-2,63,1424,13928,-20333,1,0,0,0,1,0,0,0
12678,1512755015,1431040,103197,1558,54055,0,-2,63,1444,13996,-20578,1,0,0,0,1,0,0,0
12678,1512755016,1433600,103194,1553,54085,1,-2,61,1350,13902,-20542,0,0,0,0,1,0,0,0
12678,1512755017,1305600,103188,1550,54112,-1,-3,63,1362,13954,-20472,0,0,0,0,1,0,0,0
12678,1512755018,1305600,103193,1545,54168,0,-2,63,1368,14026,-20606,1,0,0,0,0,0,0,0
12678,1512755022,2774016,103202,1549,54180,0,-3,63,1490,13998,-20338,0,0,0,0,0,0,0,0
12678,1512755022,2917376,103208,1554,54172,1,-1,63,1438,14072,-20585,1,0,0,0,0,0,0,0
12678,1512755023,2920448,103202,1555,54153,1,-1,63,1438,14072,-20585,1,0,0,0,0,0,0,0
12678,1512755024,2924544,103202,1557,54157,0,-2,63,1408,14086,-20579,0,0,0,0,0,0,0,0
12678,1512755025,2928640,103197,1559,54214,1,-2,62,1444,14094,-20633,0,0,0,0,0,0,0,0
12678,1512755026,2928640,103200,1561,54161,-1,-2,63,1418,14068,-20367,0,0,0,0,0,0,0,0
12678,1512755027,2934784,103208,1561,54123,1,-1,63,1430,14050,-20566,0,0,0,0,0,0,0,0
12678,1512755028,2933760,103201,1564,54093,0,-2,63,1420,14020,-20490,0,0,0,0,0,0,0,0
12678,1512755029,2936832,103201,1566,54070,0,-2,63,1550,14122,-20317,0,0,0,0,0,0,0,0
12678,1512755030,2939904,103201,1566,54070,0,-3,63,1464,14068,-20516,0,0,0,0,0,0,0,0
12678,1512755031,2917376,103195,1565,54059,-1,-2,64,1472,13976,-20576,0,0,0,0,0,0,1,0
12678,1512755032,1390080,103198,1567,54051,0,-3,63,1502,14030,-20418,1,0,0,0,0,0,1,0
12678,1512755033,1353728,103195,1562,54096,0,-2,63,1452,14032,-20589,1,0,0,0,0,0,1,0
12678,1512755034,1354240,103202,1556,54074,0,0,63,1422,14060,-20474,0,0,0,0,0,0,1,0
12678,1512755035,1330176,103191,1553,54199,1,-2,62,1394,13950,-20474,1,0,0,0,0,0,1,0
12678,1512755036,1330176,103194,1549,54138,-1,-1,63,1454,13932,-20612,1,0,0,0,0,0,0,0
12678,1512755037,1246208,103190,1543,54240,-1,-1,64,1408,14014,-20586,0,0,0,0,0,0,0,0
12678,1512755038,2959360,103204,1545,54274,0,-2,62,1422,13950,-20455,0,0,0,0,0,0,0,0
12678,1512755039,2963456,103204,1545,54331,0,-2,63,1418,14018,-20654,0,0,0,0,0,0,0,0
12678,1512755040,2966528,103202,1549,54316,0,-2,63,1422,14078,-20737,1,0,0,0,0,0,0,0
12678,1512755041,2967552,103205,1554,54339,-1,-2,62,1406,14020,-20317,1,0,0,0,0,0,0,0
12678,1512755042,2973696,103202,1554,54392,0,-2,65,1490,13950,-20509,0,0,0,0,0,0,0,0
12678,1512755043,2976768,103205,1557,54411,0,-2,63,1480,14060,-20404,0,0,0,0,0,0,0,0
12678,1512755044,2984960,103208,1555,54354,0,-1,62,1502,14118,-20530,0,0,0,0,0,0,0,0
9474,1512755045,2457600,103159,1464,60047,-1,1,62,9160,10392,-16023,0,0,0,0,0,0,0,0
9474,1512755046,2461696,103159,1463,60026,-1,1,63,9102,10256,-16059,0,0,0,0,0,0,0,0
12678,1512755048,2984960,103205,1554,54316,0,-2,62,1486,14076,-20505,0,0,0,0,0,0,0,1
12678,1512755048,1265664,103188,1542,54282,0,-2,64,1416,13968,-20694,0,0,0,0,0,0,0,1
12678,1512755050,1264128,103190,1540,54320,0,-2,64,1424,14006,-20698,1,0,0,0,0,0,0,0
