time,bkgd_a,bkgd_b,bkgd_c
1517525580,18.9,49,99449.5000469844
1517529180,19.4,45,99453.6208569601
1517532780,18.3,47,99434.7766483824
1517536380,15.6,64,99451.22248623
1517539980,16.1,56,99474.9543902909
1517543580,13.3,72,99470.6672469312
1517547180,13.3,69,99519.4465070563
1517550780,11.7,77,99544.6482205604
1517554380,11.7,77,99564.1572158021
1517557980,11.1,83,99549.1794547908
1517561580,11.1,80,99549.1794547908
1517565180,10.6,86,99535.0565141251
1517568780,8.9,93,99510.3355658178
1517572380,9.4,93,99514.7562014592
1517575980,8.3,93,99514.7619000793
1517579580,9.4,90,99563.5188220989
1517583180,8.3,93,99602.5260213043
1517586780,10,89,99646.8301596615
1517590380,13.9,81,99719.7155134527
1517593980,13.9,87,99758.7409377804
1517597580,15.6,69,99763.4712224506
1517601180,16.7,62,99714.20339906
1517604780,17.2,60,99620.8071676581
1517608380,19.4,49,99551.2296712274
1517611980,20,45,99546.3997823449
1517615580,20.6,47,99541.549027506
1517619180,20,53,99526.8770524405
1517622780,16.7,67,99528.7884583101
1517626380,14.4,84,99548.3706551102
1517629980,15,72,99543.7175233805
1517633580,14.4,75,99538.6138805679
1517637180,12.2,80,99548.9839440046
1517640780,12.2,83,99558.7388664881
1517644380,12.8,89,99563.9224757851
1517647980,12.2,90,99548.9839440046
1517651580,11.1,89,99529.6714831164
1517655180,10,96,99529.7936556078
1517658780,8.3,100,99524.5134691043
1517662380,8.3,100,99534.2650381293
1517665980,11.1,83,99597.949383977
1517669580,15,60,99651.0475461953
1517673180,12.2,93,99636.7782463561
1517676780,20,42,99731.8657164363
1517680380,21.1,39,99750.6332622755
1517683980,22.2,38,99730.2837983489
1517687580,23.3,36,99709.8635713922
1517691180,20.6,45,99580.5964136107
1517694780,21.1,44,99516.3393497393
1517698380,21.7,45,99491.9241828266
1517701980,21.1,49,99457.7658716052
1517705580,20.6,51,99473.2161018227
1517709180,18.9,56,99439.7395699948
1517712780,18.9,56,99459.260523974
1517716380,15,72,99446.144775367
1517719980,13.9,87,99417.2684749127
1517723580,13.9,81,99417.2684749127
1517727180,13.3,87,99421.8879868063
1517730780,11.7,86,99408.0852538688
1517734380,12.8,83,99388.3247289142
1517737980,12.8,89,99378.5692985325
1517741580,13.3,87,99392.6204307312
1517745180,12.8,89,99407.8355896776
1517748780,11.7,96,99427.5942491105
1517752380,11.1,93,99402.8696672324
1517755980,10,96,99432.2632355631
1517759580,11.7,89,99525.1392253188
1517763180,15,81,99602.2611721886
1517766780,15.6,75,99617.1046273472
1517770380,14.4,87,99616.6680769063
1517773980,16.7,70,99558.0645015864
1517777580,18.3,61,99473.8166078047
1517781180,20,50,99390.21794311
1517784780,20,49,99292.6042935882
1517788380,19.4,57,99277.9249912789
1517791980,18.9,56,99273.8114611717
